"","cow","cow_numerical","country","year","f41b","f41c","f41d","f41e","c14","a4aCIT","a4xCIT","a4aTCN","a4xTCN","f5a","f5b","b12_perm_1","b12_perm_1_name","b12_perm_2","b12_perm_2_name","b12_temp_1","b12_temp_1_name","b12_temp_2","b12_temp_2_name","b12_temp_3","b12_temp_3_name","b12_temp_4","b12_temp_4_name","b12_temp_5","b12_temp_5_name","b12_temp_6","b12_temp_6_name","b12_EUblue","b12_EUblue_name","f61b","f61c","f62b","f62c","a4a","a4x","b12mean","access","conseq","prevmeas","migsp_index"
"1","ARG",160,"Argentina",1980,".b",".b",".b",".b","0",".d",".d",".d",".d",".b",".b",".m","Mercosur Permanent Work Visa",".m","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa",".m","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".i",".i",".i","0",".i",".i","0"
"2","ARG",160,"Argentina",1981,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"3","ARG",160,"Argentina",1982,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"4","ARG",160,"Argentina",1983,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"5","ARG",160,"Argentina",1984,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"6","ARG",160,"Argentina",1985,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"7","ARG",160,"Argentina",1986,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"8","ARG",160,"Argentina",1987,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"9","ARG",160,"Argentina",1988,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
"10","ARG",160,"Argentina",1989,".b",".b",".b",".b","0",".5","1",".5","1",".b",".b",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b",".5","1","0","0",".5",".6666667",".5"
